GENERO,ADMINISTRACAO,ALGORITMOS_DE_PROGRAMACAO,ALGORITMOS_DE_PROGRAMACAO_I,ALGORITMOS_DE_PROGRAMACAO_II,ALGORITMOS_E_PROGRAMACAO_DE_COMPUTADORES,ANALISE_E_PROJETO_DE_SISTEMAS,ANALISE_E_PROJETO_DE_SISTEMAS_I,ANATOMIA_GERAL_E_PRIMEIROS_SOCORROS,ANATOMIA_VETERINARIA_,ANTROPOLOGIA_E_SOCIOLOGIA,ANTROPOLOGIA_SOCIOLOGIA_E_SAUDE_DO_AMBIENTE_,APLICATIVOS_MOVEIS,ARQUITETURA_DE_COMPUTADORES,ARQUITETURA_DE_REFERENCIA_PARA_OS_NEGOCIOS,ARQUITETURA_E_ORGANIZACAO_DE_COMPUTADORES,ATIVIDADE_FISICA_E_APTIDAO_FISICA,ATIVIDADES_AQUATICAS_I,ATIVIDADES_GINASTICAS_-_ARTISTICA_E_RITMICA,ATIVIDADES_RITMICAS_E_DANCA,BANCO_DE_DADOS,BANCO_DE_DADOS_I,BEM_ESTAR_ANIMAL,BIOLOGIA_CELULAR_HISTOLOGIA_E_EMBRIOLOGIA_VETERINARIA,BIOQUIMICA_VETERINARIA_,BIOTERISMO,BUSINESS_ANALYTICS,CALCULO_DIFERENCIAL_E_INTEGRAL,CALCULO_DIFERENCIAL_E_INTEGRAL_I,CALCULO_DIFERENCIAL_E_INTEGRAL_II,CIENCIA_DOS_MATERIAIS,COMPORTAMENTO_HUMANO_NAS_ORGANIZAC†ES,COMPUTACAO_GRAFICA,COMUNICACAO_E_CULTURA_DIGITAL,COMUNICACAO_E_EXPRESSAO,COMUNICACAO_EMPRESARIAL,COMUNICACAO_EMPRESARIAL_E_PROFISSIONAL,COMUNICACAO_INSTITUCIONAL,COMUNICACAO_PROFISSIONAL,CONTABILIDADE_BASICA_E_GESTAO_DE_CUSTOS,CONTABILIDADE_E_ANALISE_DE_CUSTOS,CRIATIVIDADE_E_EXPRESSAO,CULTURA_STARTUP,DEONTOLOGIA_E_ETICA_PROFISSIONAL,DESENHO_TECNICO,DESENVOLVIMENTO_DE_SISTEMAS_COM_PHP,DESENVOLVIMENTO_DE_SOFTWARE,DESENVOLVIMENTO_E_APRENDIZAGEM_MOTORA,DESENVOLVIMENTO_GERENCIAL,DESENVOLVIMENTO_PESSOAL,DESIGN_DE_INTERACAO,DIREITO_E_LINGUAGEM,DIREITO_E_PSICOLOGIA,ECONOMIA_E_NEGOCIOS_INTERNACIONAIS,ELETRICIDADE,ELETRICIDADE_E_ELETROMAGNETISMO,ELETRONICA_ANALOGICA,ELETRONICA_DIGITAL,EMPREENDEDORISMO_E_PLANO_DE_NEGOCIOS,EMPREENDEDORISMO_I,ENGENHARIA_DE_SOFTWARE,EPISTEMOLOGIA_FILOSOFIA_POLITICA_E_TEORIAS_DA_JUSTICA,ESPORTE_COLETIVO_-_BASQUETE,ESPORTE_COLETIVO_-_HANDEBOL,ESPORTE_COLETIVO_-_VOLEIBOL,ESTATISTICA,ESTRATEGIAS_DE_PRODUCAO_INDUSTRIAL,ESTRUTURA_DE_DADOS_I,ESTRUTURA_DE_DADOS_II,FILOSOFIA_E_ETICA,FISICA_A,FISICA_I,FISICA_II,FISICA_PARA_JOGOS_DIGITAIS,FISIOLOGIA_HUMANA_E_BIOQUIMICA,FOTOJORNALISMO,FUNDAMENTOS_DA_ADMINISTRACAO,FUNDAMENTOS_DA_ENGENHARIA_DE_PRODUCAO,FUNDAMENTOS_DA_MATEMATICA,FUNDAMENTOS_DE_ADMINISTRACAO,FUNDAMENTOS_DE_SISTEMAS_DE_INFORMACAO,GENETICA_APLICADA_ú_MEDICINA_VETERINARIA_,GEOMETRIA_ANALITICA_E_ALGEBRA_LINEAR,GESTAO_COMERCIAL,GESTAO_DE_PROJETOS,GESTAO_DE_SISTEMAS_DE_INFORMACAO,GESTAO_ESTRATEGICA_DE_EMPREENDIMENTOS,GOVERNANCA_DE_TI,HISTORIA_CONTEMPORANEA_DO_BRASIL,HISTORIA_DA_ARTE_E_DA_CULTURA,HISTORIA_DA_COMUNICACAO,HUMANIDADES,INFRAESTRUTURA_TECNOLOGICA,INTRODUCAO_ú_ENGENHARIA,INTRODUCAO_ú_ENGENHARIA_,INTRODUCAO_ú_ENGENHARIA_DA_COMPUTACAO,INTRODUCAO_ú_MEDICINA_VETERINARIA_E_ZOOTECNIA,INTRODUCAO_ú_PROGRAMACAO,INTRODUCAO_AO_JORNALISMO_E_LEGISLACAO,JORNALISMO_DIGITAL_I,JORNALISMO_GRAFICO_I,LIBRAS,LINGUA_PORTUGUESA_I,LINGUA_PORTUGUESA_II,LINGUAGEM_DE_PROGRAMACAO_EM_C,LINGUAGEM_DE_PROGRAMACAO_I,LINGUAGEM_DE_PROGRAMACAO_II,LOCALIZACAO,LOCALIZACAO_AVANCADA,LOGICA_MATEMATICA,LOGICA_MATEMATICA_I,LOGICA_MATEMATICA_II,MARKETING_E_GESTAO_DE_QUALIDADE_EM_HOSPITALIDADE,MATEMATICA,MATEMATICA_APLICADA,MATEMATICA_APLICADA_AOS_NEGOCIOS,MATEMATICA_DISCRETA,MEDIC†ES_E_CALIBRACAO,METODOLOGIA_CIENTIFICA,METODOLOGIA_DE_PROJETOS,METODOLOGIA_DO_TRABALHO_ACADEMICO,METODOS_QUANTITATIVOS_I,NOVO_AMBIENTE_ORGANIZACIONAL,NUTRICAO_E_DIETETICA,OFICINA_DE_BANCO_DE_DADOS,OFICINA_DE_MATEMATICA,OFICINA_DE_PROGRAMACAO_I,OFICINA_DE_PROGRAMACAO_II,ORIENTACAO_A_OBJETOS,PESSOAS_BENS_E_NEGOCIO_JURIDICO,PLANEJAMENTO_ARQUITETONICO_E_MANUTENCAO,PLANEJAMENTO_E_ORGANIZACAO_DE_EVENTOS,PLANEJAMENTO_GRAFICO,POLITICA_ESTADO_E_CONSTITUICAO,PRATICAS_DE_COZINHA_E_PRODUCAO_DE_ALIMENTOS_E_BEBIDAS,PRE-CALCULO,PRODUCAO_MULTIMIDIA,PROGRAMACAO_DE_COMPUTADORES,PROGRAMACAO_E_CALCULO_NUMERICO,PROGRAMACAO_I,PROGRAMACAO_II,QUIMICA_TECNOLOGICA,RACIOCINIO_LOGICO,RADIOJORNALISMO_I,REDACAO_JORNALISTICA,REDE_DE_COMPUTADORES_I,REDES_DE_COMPUTADORES,REPRESENTACAO_E_MODELAMENTO_GEOMETRICO,SAUDE_PUBLICA_APLICADA_ú_MEDICINA_VETERINARIA,SEGURANCA_E_HIGIENE_DE_ALIMENTOS,SISTEMAS_CONVERGENTES,SISTEMAS_CORPORATIVOS,SISTEMAS_DE_INFORMACAO,SISTEMAS_EMBARCADOS,SISTEMAS_EMBARCADOS_I_,SISTEMAS_FINANCEIROS,SISTEMAS_OPERACIONAIS,SISTEMAS_OPERACIONAIS_I,SISTEMAS_OPERACIONAIS_II,SOCIOLOGIA_DA_COMUNICACAO,TECNICA_HOSPITALAR_VETERINARIA,TECNICAS_DE_APURACAO,TECNICAS_DE_SERVICO_EM_HOSPITALIDADE,TELEJORNALISMO_I,TEORIA_E_HISTORIA_DO_DIREITO,TEORIA_GERAL_DA_ADMINISTRACAO,TEORIAS_DA_COMUNICACAO,TOPICOS_ESPECIAIS_EM_SOFTWARE,TOPOGRAFIA,TRABALHO_DE_CONCLUSAO_DE_CURSO,TRABALHO_DE_ENGENHARIA_DA_COMPUTACAO,TRABALHO_INTERDISCIPLINAR_I,Situacao
M,?,8.9,?,?,?,4,?,?,?,?,?,?,?,?,8.5,?,?,?,?,8,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.25,?,?,?,?,?,?,?,?,?,?,?,1.166666667,?,?,?,?,8.7,?,?,?,?,?,?,?,?,?,?,?,?,8,6.4,?,?,?,?,6.05,?,7.85,?,?,?,7.9,?,?,?,6,?,0,?,?,?,?,?,?,?,?,?,?,1.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.05,?,?,?,?,?,?,Ativo
M,?,7.85,?,?,?,2.125,?,?,?,?,?,?,?,?,4,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,6.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.25,?,?,?,?,?,?,?,?,?,?,?,1.225,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,6.5,6,?,?,?,?,4.75,?,6.65,?,?,?,3.625,?,?,?,6.15,?,0.125,?,?,?,?,?,?,?,?,?,?,2.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,?,?,?,?,?,?,Ativo
M,?,3.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.45,?,?,?,?,?,?,?,?,?,?,?,?,3.25,?,?,?,?,?,2.9,?,3.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.75,?,?,?,?,?,?,Ativo
M,7.2,5.9,?,?,?,10,?,?,?,?,?,?,?,4.75,7.1,?,?,?,?,?,8,?,?,?,?,8.5,?,?,?,?,?,?,?,4.25,?,?,?,?,?,?,?,7.875,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,1.95,?,7.15,6,9.8,?,?,?,?,?,?,?,?,?,4.025,?,?,?,?,7.075,9.25,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,5.8,5.8,?,?,?,?,?,5,?,8,?,?,?,?,?,10,?,7,4,?,?,?,?,?,?,?,?,?,?,?,5.9,4.375,?,?,?,?,?,?,?,?,?,5.85,7.25,9,4.1875,?,?,4.4125,?,?,?,?,?,?,?,?,7,?,7.25,?,9.9,?,8.5,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,?,?,?,?,4.0625,?,?,?,?,?,7.25,1.25,?,0.25,?,?,?,?,7.25,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,7.125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.4,?,?,?,?,?,?,?,?,?,?,?,3.8375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,5,?,?,4.9,?,5.7,?,?,?,5.9,?,?,?,4.75,?,3.5625,?,?,?,?,?,?,?,?,?,?,0.4,?,?,6.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.85,?,?,?,?,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,8.8,9.2,?,?,?,8.575,?,?,?,?,?,?,?,9.375,9.75,?,?,?,?,7.75,?,?,?,?,?,10,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,8.5,?,?,?,?,?,?,?,9,?,?,?,?,?,?,?,?,?,9.75,?,?,?,?,9.5,?,?,?,7.5,?,?,?,?,?,?,?,?,?,8.6,8.4,?,?,?,9.875,?,?,8.5,?,?,?,?,8.85,?,?,?,?,8.2,?,?,?,?,?,?,?,?,?,?,?,?,8.75,9.8,?,?,?,?,9,?,8.7,?,?,?,?,?,?,?,9.5,?,9.25,?,?,?,?,?,?,?,?,?,?,9.4,?,?,?,?,?,?,?,?,?,?,9.7,9.375,?,10,?,7.6,9.025,?,?,?,?,?,?,?,?,7.1,?,7.625,?,10,?,?,Ativo
F,?,4.75,?,?,?,2.25,?,?,?,?,?,?,?,?,0.75,?,?,?,?,7.666666667,?,?,?,?,?,?,?,?,?,?,?,?,?,6.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,?,?,?,?,?,?,?,?,?,?,?,0.45,?,?,?,?,7.5,?,?,?,?,?,?,?,?,?,?,?,?,4,4.5,?,?,?,?,3.55,?,8.35,?,?,?,4.075,?,?,?,0,?,0.125,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.05,?,?,?,?,?,?,Ativo
F,?,5.35,?,?,?,7.7625,?,?,?,?,?,?,?,10,4.25,?,?,?,?,8.25,?,?,?,?,?,10,?,?,?,?,?,?,?,6.65,?,?,?,?,?,?,?,8,?,?,?,?,?,?,?,2.125,?,?,?,?,?,?,?,?,?,5.75,?,?,?,?,?,?,?,?,1.55,?,?,?,?,?,?,?,?,?,?,7.15,?,?,?,8.7,?,?,5.875,?,?,?,?,4.575,?,?,?,?,7.5,?,?,?,5.1,?,?,?,?,?,?,?,?,7.25,7,?,?,?,?,4.4,?,6.45,?,?,?,8.25,?,?,?,7.25,?,4,?,?,?,?,?,?,?,?,?,?,4.6,?,?,?,?,?,?,?,?,?,?,7,9.25,?,1.625,?,?,5.5,?,?,?,?,?,?,?,?,6.65,?,7.375,?,7,?,?,Ativo
M,?,9.45,?,?,?,?,?,?,?,?,?,?,?,?,1.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.35,?,?,?,?,?,?,?,?,?,?,?,?,9,2.3,?,?,?,?,7.8,?,5.75,?,?,?,?,?,?,?,2.5,?,?,?,?,?,?,?,?,?,?,?,?,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.9,?,?,?,?,?,?,Evadido
M,?,4.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.4,?,?,?,?,?,?,?,?,?,?,?,?,7.5,?,?,?,?,?,8.3,?,8.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.7,?,?,?,?,?,?,Ativo
M,8.1,7,?,?,?,?,?,?,?,?,?,?,?,5.25,8.1,?,?,?,?,?,9.25,?,?,?,?,?,?,?,?,?,?,?,?,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,7.8,?,7.1,5.45,7.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.65,7.5,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,8.35,?,?,?,?,?,?,?,?,5,5,?,?,?,?,7.2,?,?,?,?,?,?,?,10,?,7,4,?,?,?,?,?,?,?,?,?,?,?,7,4.75,?,?,?,?,?,?,?,?,?,3.125,6,?,1.25,?,?,6.625,?,?,?,?,?,?,?,?,5.1,?,?,?,?,?,9.5,Ativo
M,?,7.05,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,4.75,0,?,?,?,?,4,?,6.85,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.5,?,?,?,?,?,?,Ativo
M,?,8.65,?,?,?,5.925,?,?,?,?,?,?,?,?,8.5,?,?,?,?,8.75,?,?,?,?,?,?,?,?,?,?,?,?,?,6.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.65,?,?,?,?,?,?,?,?,?,?,?,5.15,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,7,7,?,?,?,?,5.8,?,7,?,?,?,7,?,?,?,9,?,3.125,?,?,?,?,?,?,?,?,?,?,8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.1,?,?,?,?,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,4.5,?,?,?,?,?,5.4,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.1,?,?,?,?,?,?,Evadido
M,?,7,?,?,?,6.125,?,?,?,?,?,?,?,9.5,7.5,?,?,?,?,7.5,?,?,?,?,?,8.666666667,?,?,?,?,?,?,?,4,?,?,?,?,?,?,?,8.25,?,?,?,?,?,?,?,6.375,?,?,?,?,?,?,?,?,?,4.5,?,?,?,?,?,?,?,?,8.5,?,?,?,?,?,?,?,?,?,7.4,7.25,?,?,?,8.125,?,?,7.3,?,?,?,?,4.45,?,?,?,?,8.7,?,?,?,?,?,?,?,?,?,?,?,?,6.25,8.5,?,7.4,?,?,5.5,?,3.7,?,?,?,8.5,?,?,?,7.25,?,1.125,?,?,?,?,?,?,?,?,?,?,4.4,?,?,?,?,?,?,?,?,?,?,8.125,9.5,?,8,?,?,7.325,?,?,?,?,?,?,?,?,7.35,?,7,?,7.1,?,?,Ativo
M,?,7.45,?,?,?,8.05,?,?,?,?,?,?,?,7.26,8.25,?,?,?,?,7.75,?,?,?,?,?,?,?,?,?,?,?,?,?,5.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,?,?,2.7,?,?,?,?,?,?,?,?,?,7.55,7,?,?,?,5.6,?,?,?,?,?,?,?,5.975,?,?,?,?,8.2,?,?,?,?,?,?,?,?,?,?,?,?,7.25,9,?,?,?,?,6.3,?,7,?,?,?,8.35,?,?,?,7.75,?,8.25,?,?,?,?,?,?,?,?,?,?,7.9,?,?,?,?,?,?,?,?,?,?,5.9,6.82,?,7.8,?,?,6,?,?,?,?,?,?,?,?,7,?,?,?,?,?,?,Ativo
M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,Evadido
M,?,6.45,?,?,?,2.9,?,?,?,?,?,0,1.5,?,4,?,?,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,6.45,?,?,?,?,?,?,?,?,?,?,?,0.7875,?,?,?,4.125,?,?,?,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.4,?,?,?,?,?,?,?,?,?,?,?,1.1625,?,?,?,?,6.25,?,?,?,?,?,?,?,?,?,?,?,?,6.5,2.5,?,1.25,?,?,4.9,?,8.3,?,?,?,6.45,?,?,?,0,?,0.2,?,?,?,?,?,?,?,?,?,?,0.65,?,?,2.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.15,?,?,?,?,?,?,Ativo
M,8.9,7.8,?,?,?,10,?,?,?,?,?,?,?,2.2875,6.5,?,?,?,?,?,6.2,?,?,?,?,5.9,?,?,?,?,?,?,?,8.9,?,?,?,?,?,?,?,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.4,?,?,?,?,7.3,?,7.15,1.75,4.2,?,?,?,?,?,?,?,?,?,7.475,7.9,?,?,?,7.8,7.5,?,?,?,?,?,?,7.1,?,?,?,?,7.8,?,?,?,?,?,?,?,?,?,?,?,?,7.2,8,?,?,?,?,6.2,?,2.5,?,?,?,?,?,7,?,7.8,7,?,?,?,?,?,?,?,?,?,?,?,7,7.7,?,?,?,?,5.6,?,?,?,?,4.083333333,8.525,?,5.5,?,?,5.75,7,?,?,?,?,?,?,?,8.4,?,7,?,7.7,?,9.5,Ativo
M,8.9,7.1,?,?,?,10,?,?,?,?,?,?,?,7.35,7,?,?,?,?,?,10,?,?,?,?,8,?,?,?,?,?,?,?,7.7,?,?,?,?,?,?,?,7.75,?,?,?,9,?,?,?,?,?,?,?,?,?,?,?,?,?,7.8,?,?,?,?,5.9,?,7.75,7.3,8.6,?,?,?,?,?,?,?,?,?,7.475,7.9,?,?,?,9.5,9.75,?,?,?,?,?,?,?,?,?,?,?,7.8,?,?,?,?,?,?,?,?,?,?,?,?,7.3,7.3,?,7,?,?,2.7,?,9.2,?,?,?,?,?,10,?,8.3,8,?,?,?,?,?,?,?,?,?,?,?,?,8.95,?,?,?,?,?,?,?,?,?,8.75,8.9,?,9.625,?,?,7.8,?,?,?,?,?,?,?,?,?,?,8,?,10,?,9.5,Ativo
F,?,5.5,?,?,?,?,?,?,?,?,?,?,?,?,5.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,8.6,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Ativo
M,7,9.4,?,?,?,10,?,?,?,?,?,?,?,8.325,8.1,?,?,?,?,?,8,?,?,?,?,9.125,?,?,?,?,?,?,?,8.5,?,?,?,?,?,?,?,8.375,?,?,?,?,?,?,?,8,?,?,?,?,?,?,?,?,?,8.3,?,?,?,?,7.3,?,9.2,8.3,9,?,?,?,?,?,?,?,?,?,6.55,8.4,?,?,?,10,?,?,9,?,?,?,?,0,?,?,?,?,9,?,?,?,?,?,?,?,?,?,?,?,?,9.8,9.6,?,?,?,?,7.6,?,10000,?,?,?,0,?,8,?,9.4,10,?,?,?,?,?,?,?,?,?,?,?,9,9.2,?,?,?,?,?,?,?,?,?,8.625,8.975,?,8.25,?,?,?,7.8,9.6,?,?,?,?,?,?,?,?,8.375,?,9.2,?,7.5,Ativo
F,?,6,?,?,?,?,5.5,?,?,?,?,0,?,?,3.5,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.25,?,?,?,?,5.7,?,?,?,5,?,?,?,?,?,?,?,?,?,?,5.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,5,5,?,?,?,?,7.6,?,5.3,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Ativo
